,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside,tagged_sequence
0,/html/body/document/type,EX-4.7,0,,,,,,,,,,,,1,o
1,/html/body/document/type/sequence,3,1,,,,,,,,,,,,1,o
2,/html/body/document/type/sequence/filename,a21-3954_1ex4d7.htm,2,,,,,,,,,,,,1,o
3,/html/body/document/type/sequence/filename/description,EX-4.7,3,,,,,,,,,,,,1,o
4,/html/body/document/type/sequence/filename/description/text/script[1],"bazadebezolkohpepadr=""1723055342""",4,,,,,,,,,,,,1,o
5,/html/body/document/type/sequence/filename/description/text/div[1]/p[1]/b/font,Exhibit 4.7,5,,,,,,,,,,,,1,o
6,/html/body/document/type/sequence/filename/description/text/div[1]/p[3]/b/font,EXECUTION VERSION,6,,,,,,,,,,,,1,o
7,/html/body/document/type/sequence/filename/description/text/div[1]/p[5]/b/font,AGREEMENT AND PLAN OF MERGER,7,,,,,,,,,,,,1,o
8,/html/body/document/type/sequence/filename/description/text/div[1]/p[7]/b/font,dated as of,8,,,,,,,,,,,,1,o
9,/html/body/document/type/sequence/filename/description/text/div[1]/p[9]/b/font,"December 12, 2020",9,,,,,,,,,,,,1,o
10,/html/body/document/type/sequence/filename/description/text/div[1]/p[11]/b/font,among,10,,,,,,,,,,,,1,o
11,/html/body/document/type/sequence/filename/description/text/div[1]/p[13]/b/font,"ASTRAZENECA PLC,",11,,,,,,,,,,,,1,o
12,/html/body/document/type/sequence/filename/description/text/div[1]/p[15]/b/font,"DELTA OMEGA SUB HOLDINGS INC.,",12,,,,,,,,,,,,1,o
13,/html/body/document/type/sequence/filename/description/text/div[1]/p[17]/b/font,"DELTA OMEGA SUB HOLDINGS INC. 1,",13,,,,,,,,,,,,1,o
14,/html/body/document/type/sequence/filename/description/text/div[1]/p[19]/b/font,DELTA OMEGA SUB HOLDINGS LLC 2,14,,,,,,,,,,,,1,o
15,/html/body/document/type/sequence/filename/description/text/div[1]/p[21]/b/font,and,15,,,,,,,,,,,,1,o
16,/html/body/document/type/sequence/filename/description/text/div[1]/p[23]/b/font,"ALEXION PHARMACEUTICALS, INC.",16,,,,,,,,,,,,1,o
18,/html/body/document/type/sequence/filename/description/text/div[3]/p[2]/b/font,TABLE OF CONTENTS,18,,,,,,,,,,,,1,o
19,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[1]/td[3]/p/b/font,Page,19,,,,,,,,,,,,1,o
20,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[3]/td[1]/p/font,ARTICLE   I DEFINITIONS,20,,,,,,,,,,,,1,o
21,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[3]/td[2]/p/font,2,21,,,,,,,,,,,,1,o
22,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[4]/td[1]/p/font,Section 1.01,22,,,,,,,,,,,,1,o
23,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[4]/td[2]/p/font,Definitions,23,,,,,,,,,,,,1,o
24,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[4]/td[3]/p/font,2,24,,,,,,,,,,,,1,o
25,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[5]/td[1]/p/font,Section 1.02,25,,,,,,,,,,,,1,o
26,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[5]/td[2]/p/font,Other Definitional and   Interpretative Provisions,26,,,,,,,,,,,,1,o
27,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[5]/td[3]/p/font,20,27,,,,,,,,,,,,1,o
28,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[7]/td[1]/p/font,ARTICLE   II CLOSING; THE MERGER,28,,,,,,,,,,,,1,o
29,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[7]/td[2]/p/font,21,29,,,,,,,,,,,,1,o
30,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[8]/td[1]/p/font,Section 2.01,30,,,,,,,,,,,,1,o
31,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[8]/td[2]/p/font,Closing,31,,,,,,,,,,,,1,o
32,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[8]/td[3]/p/font,21,32,,,,,,,,,,,,1,o
33,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[9]/td[1]/p/font,Section 2.02,33,,,,,,,,,,,,1,o
34,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[9]/td[2]/p/font,The Mergers,34,,,,,,,,,,,,1,o
35,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[9]/td[3]/p/font,22,35,,,,,,,,,,,,1,o
36,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[10]/td[1]/p/font,Section 2.03,36,,,,,,,,,,,,1,o
37,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[10]/td[2]/p/font,Conversion and   Cancellation of Shares in the First Merger,37,,,,,,,,,,,,1,o
38,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[10]/td[3]/p/font,23,38,,,,,,,,,,,,1,o
39,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[11]/td[1]/p/font,Section 2.04,39,,,,,,,,,,,,1,o
40,/html/body/document/type/sequence/filename/description/text/div[3]/table/tbody/tr[11]/td[2]/p/font,Conversion of Shares in   the Second Merger,40,,,,,,,,,,,,1,o
