,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,1
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,1
2,/html/body/document/type/sequence/filename,ex_260368.htm,2,,,,,,,,,,,,1
3,/html/body/document/type/sequence/filename/description,EXHIBIT 2.1,3,,,,,,,,,,,,1
5,/html/body/document/type/sequence/filename/description/text/title,ex_260368.htm,5,,,,,,,,,,,,1
6,/html/body/document/type/sequence/filename/description/text/p[1]/font/b,Exhibit 2.1,6,,,,,,,,,,,,1
7,/html/body/document/type/sequence/filename/description/text/p[3]/b,Execution Version,7,,,,,,,,,,,,1
Unnamed 0,/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,8,/html/body/document/type/sequence/filename/description/text/p[8]/b,AGREEMENT AND PLAN OF MERGER,t,0.0,"[0.0036537963202902305, 0.4156520833333333, 0.16869583333333332, 0.00038870173620108835]",1.0,0.0,0.0036537963202902305,0.4156520833333333,0.16869583333333332,0.00038870173620108835,0
Unnamed 1,/html/body/document/type/sequence/filename/description/text/p[10]/b,BY AND AMONG,9,/html/body/document/type/sequence/filename/description/text/p[10]/b,BY AND AMONG,t,1.0,"[0.00445711324177248, 0.46365555555555554, 0.07268888888888889, 0.00038870173620108835]",1.0,1.0,0.00445711324177248,0.46365555555555554,0.07268888888888889,0.00038870173620108835,0
Unnamed 2,/html/body/document/type/sequence/filename/description/text/p[12]/b,QAD Inc.,10,/html/body/document/type/sequence/filename/description/text/p[12]/b,QAD Inc.,t,2.0,"[0.005260430163254729, 0.4809680555555556, 0.03805881944444444, 0.00038870173620108835]",1.0,2.0,0.005260430163254729,0.4809680555555556,0.03805881944444444,0.00038870173620108835,0
Unnamed 3,/html/body/document/type/sequence/filename/description/text/p[14]/b,"PROJECT QUICK PARENT, LLC",11,/html/body/document/type/sequence/filename/description/text/p[14]/b,"PROJECT QUICK PARENT, LLC",t,3.0,"[0.006063747084736978, 0.43030625, 0.13938819444444445, 0.00038870173620108835]",1.0,3.0,0.006063747084736978,0.43030625,0.13938819444444445,0.00038870173620108835,0
Unnamed 4,/html/body/document/type/sequence/filename/description/text/p[16]/b,AND,12,/html/body/document/type/sequence/filename/description/text/p[16]/b,AND,t,4.0,"[0.006867064006219227, 0.48996874999999995, 0.0200575, 0.00038870173620108835]",1.0,4.0,0.006867064006219227,0.48996874999999995,0.0200575,0.00038870173620108835,0
Unnamed 5,/html/body/document/type/sequence/filename/description/text/p[18]/b,"PROJECT QUICK MERGER SUB, INC.",13,/html/body/document/type/sequence/filename/description/text/p[18]/b,"PROJECT QUICK MERGER SUB, INC.",t,5.0,"[0.007670380927701477, 0.4175347222222222, 0.16493055555555555, 0.00038870173620108835]",1.0,5.0,0.007670380927701477,0.4175347222222222,0.16493055555555555,0.00038870173620108835,0
Unnamed 6,/html/body/document/type/sequence/filename/description/text/p[20]/b,"Dated as of June 27, 2021",14,/html/body/document/type/sequence/filename/description/text/p[20]/b,"Dated as of June 27, 2021",t,6.0,"[0.008473697849183726, 0.4498534722222222, 0.10028749999999999, 0.00038870173620108835]",1.0,6.0,0.008473697849183726,0.4498534722222222,0.10028749999999999,0.00038870173620108835,0
Unnamed 7,/html/body/document/type/sequence/filename/description/text/p[28]/u,TABLE OF CONTENTS,15,/html/body/document/type/sequence/filename/description/text/p[28]/u,TABLE OF CONTENTS,t,7.0,"[0.014398574760300596, 0.4530541666666667, 0.09388541666666667, 0.00038870173620108835]",1.0,7.0,0.014398574760300596,0.4530541666666667,0.09388541666666667,0.00038870173620108835,0
16,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[1]/p,ARTICLE I DEFINITIONS,16,,,,,,,,,,,,1
17,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td[2]/p,2,17,,,,,,,,,,,,1
18,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[1]/p,Section 1.1,18,,,,,,,,,,,,1
19,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[2]/p,Certain Definitions,19,,,,,,,,,,,,1
20,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[2]/td[3]/p,2,20,,,,,,,,,,,,1
21,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1]/p,Section 1.2,21,,,,,,,,,,,,1
22,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2]/p,Interpretation,22,,,,,,,,,,,,1
23,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[3]/p,14,23,,,,,,,,,,,,1
24,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1]/p,ARTICLE II THE MERGER; EFFECTS OF THE MERGER,24,,,,,,,,,,,,1
25,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2]/p,15,25,,,,,,,,,,,,1
26,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1]/p,Section 2.1,26,,,,,,,,,,,,1
27,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2]/p,The Merger,27,,,,,,,,,,,,1
28,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[3]/p,15,28,,,,,,,,,,,,1
29,/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[6]/td[1]/p,Section 2.2,29,,,,,,,,,,,,1
