,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,1,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,1,o
2,/html/body/document/type/sequence/filename,d110570dex21.htm,2,,,,,,,,,,,,1,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,1,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,1,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,6,,,,,,,,,,,,1,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,Execution Version,7,,,,,,,,,,,,1,o
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,A,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,A,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,0.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,b_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[1],MENDED,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[1],MENDED,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,1.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[2],AND,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[2],AND,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,2.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,R,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,R,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,3.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[3],ESTATED,12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[3],ESTATED,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,4.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,A,13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,A,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,5.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[1],GREEMENT,14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[1],GREEMENT,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,6.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[2],AND,15,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[2],AND,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,7.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
15,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,P,16,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,P,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,8.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
16,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[3],LAN,17,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[3],LAN,t,0.0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",39.0,9.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0,i_t
